Name,BSE Code,NSE Code,Market Capitalization
TD Power Systems,533553,TDPOWERSYS,16849.23
Pine Labs,544606,PINELABS,16846.33
IDream Film,504375,,16824.36
Poly Medicure,531768,POLYMED,16806.41
Black Box,500463,BBOX,16783.14
LMW,500252,LMW,16780.8
N S D L,544467,,16780
C P C L,500110,CHENNPETRO,16774.85
Jindal Saw,500378,JINDALSAW,16678.37
PG Electroplast,533581,PGEL,16623.29
Vertis Infra.,,VERTIS,16609.82
Kansai Nerolac,500165,KANSAINER,16574.61
Cohance Life,543064,COHANCE,16438.91
Minda Corp,538962,MINDACORP,16398.46
DCM Shriram,523367,DCMSHRIRAM,16363.04
Five-Star Bus.Fi,543663,FIVESTAR,16360.09
TBO Tek,544174,TBOTEK,16353.89
Alembic Pharma,533573,APLLTD,16337.33
Leela Palaces Hotels,544408,THELEELA,16262.08
KSB,500249,KSB,16171.73
Garware Hi Tech,500655,GRWRHITECH,16166.26
Bikaji Foods,543653,BIKAJI,16109.83
Welspun Living,514162,WELSPUNLIV,16094.56
Finolex Cables,500144,FINCABLES,16082.32
JBM Auto,532605,JBMA,16052.03
CEAT,500878,CEATLTD,16038.43
Vedanta Power,544781,VEDPOWER,16036.49
CCL Products,519600,CCL,15977.99
Niva Bupa Health,544286,NIVABUPA,15942.26
A B Real Estate,500040,ABREL,15926.7
Gallantt Ispat L,532726,GALLANTT,15916.1
Sobha,532784,SOBHA,15713.78
Jubilant Pharmo,530019,JUBLPHARMA,15638.49
Amara Raja Ener.,500008,ARE&M,15565.39
KPIT Technologi.,542651,KPITTECH,15415.08
Usha Martin,517146,USHAMART,15391.01
BASF India,500042,BASF,15344.77
Honasa Consumer,544014,HONASA,15290.55
Fine Organic,541557,FINEORG,15271.3
KFin Technolog.,543720,KFINTECH,15240.8
BEML Ltd,500048,BEML,15125.28
Clean Max Enviro,544717,CLEANMAX,15055.45
International Gemological Instit,544311,IGIL,15021.86
Azad Engineering,544061,AZAD,14937.09
Apollo Micro Sys,540879,APOLLO,14936.46
Mah. Scooters,500266,MAHSCOOTER,14936
Paradeep Phosph.,543530,PARADEEP,14887.34
Dr Agarwal's Hea,544350,AGARWALEYE,14809.42
Inox Wind,539083,INOXWIND,14690.02
Kirl. Brothers,500241,KIRLOSBROS,14657.7
Ventive Hospital,544321,VENTIVE,14622.03
Rainbow Child.,543524,RAINBOW,14544.31
Fractal Analyt.,544700,FRACTAL,14478.61
Anupam Rasayan,543275,ANURAS,14474.13
SKF India Indus.,544572,SKFINDUS,14469.03
Vedanta Oil and Gas,544782,VOGL,14444.96
Alivus Life,543322,ALIVUS,14328.59
Aptus Value Hou.,543335,APTUS,14267.57
Happy Forgings,544057,HAPPYFORGE,14257.37
eClerx Services,532927,ECLERX,14179.58
Arvind Ltd,500101,ARVIND,14125.51
Devyani Intl.,543330,DEVYANI,14104.84
Privi Speci.,530117,PRIVISCL,14082.09
JSW Dulux,500710,JSWDULUX,13994.55
DOMS Industries,544045,DOMS,13943.75
Vinati Organics,524200,VINATIORGA,13870.46
Vijaya Diagnost.,543350,VIJAYA,13786.6
Ingersoll-Rand,500210,INGERRAND,13716.77
Engineers India,532178,ENGINERSIN,13632.33
Supreme Petroch.,500405,SPLPETRO,13603.85
Vedanta Iron & Steel,544784,VISL,13588.6
S C I,523598,SCI,13554.8
Cartrade Tech,543333,CARTRADE,13524
Concord Biotech,543960,CONCORDBIO,13437.95
Canara HSBC,544583,CANHLIFE,13428.25
Gravita India,533282,GRAVITA,13408.06
Va Tech Wabag,533269,WABAG,13363.25
V-Guard Industri,532953,VGUARD,13305.5
L T Foods,532783,LTFOODS,13159.14
Shadowfax Technologies,544685,SHADOWFAX,13155.65
Shaily Engineer.,501423,SHAILY,13154.4
KEC International,532714,KEC,13152.99
EID Parry,500125,EIDPARRY,13141.16
Trident,521064,TRIDENT,13132.31
JSW Holdings,532642,JSWHL,13117.98
Avanti Feeds,512573,AVANTIFEED,12875.88
Atlanta Electric,544527,ATLANTAELE,12804.45
UTI AMC,543238,UTIAMC,12701.51
NMDC Steel,543768,NSLNISP,12698.33
Home First Finan,543259,HOMEFIRST,12578.06
Lloyds Engineeri,539992,LLOYDSENGG,12444.42
Ircon Intl.,541956,IRCON,12433.65
Techno Elec.Engg,542141,TECHNOE,12425.47
Viyash Scientific,512529,VIYASH,12400.72
Prudent Corp.,543527,PRUDENT,12388.89
JM Financial,523405,JMFINANCIL,12316.07
Marksans Pharma,524404,MARKSANS,12294.32
Corona Remedies,544644,CORONA,12285.84
Park Medi World,544645,PARKHOSPS,12284.09
PCBL Chemical,506590,PCBL,12199.3
Tega Inds.,543413,TEGA,12181.98
T N Merc. Bank,543596,TMB,12168.52
Indegene,544172,INDGN,12141.97
Sedemac Mechatro,544723,SEDEMAC,12123.44
RRPSemiconductor,504346,,12118
Amagi Media Labs,544679,AMAGI,12082.53
Balrampur Chini,500038,BALRAMCHIN,12050.66
Can Fin Homes,511196,CANFINHOME,12050.44
JK Tyre & Indust,530007,JKTYRE,12010.12
AAVAS Financiers,541988,AAVAS,11967.33
JP Power Ven.,532627,JPPOWER,11897.6
Diamond Power,522163,DIACABS,11875.29
Swan Defence,533107,SWANDEF,11874.55
Ujjivan Small,542904,UJJIVANSFB,11870
India Cements,530005,INDIACEM,11783.85
Jain Resource,544537,JAINREC,11770.87
Action Const.Eq.,532762,ACE,11765.38
Shilpa Medicare,530549,SHILPAMED,11753.5
Olectra Greentec,532439,OLECTRA,11712.94
A B Lifestyle,544403,ABLBL,11695.03
Metropolis Healt,542650,METROPOLIS,11642.72
Graphite India,509488,GRAPHITE,11617.05
Kirl.Pneumatic,505283,KIRLPNU,11589.42
Blue Dart Expres,526612,BLUEDART,11568.25
Edelweiss.Fin.,532922,EDELWEISS,11547.72
South Ind.Bank,532218,SOUTHBANK,11545.67
Indiamart Inter.,542726,INDIAMART,11538.14
Elecon Engg.Co,505700,ELECON,11430.93
Titagarh Rail,532966,TITAGARH,11318.64
Rategain Travel,543417,RATEGAIN,11310.21
Avalon Tech,543896,AVALON,11284.51
Afcons Infrastr.,544280,AFCONS,11279.95
Nuvoco Vistas,543334,NUVOCO,11250.4
Tilaknagar Inds.,507205,TI,11248.94
Lloyds Enterpris,512463,LLOYDSENT,11242.78
Brainbees Solut.,544226,FIRSTCRY,11003.02
Mahanagar Gas,539957,MGL,10992.46
Nazara Technolo.,543280,NAZARA,10986.16
